rating_neutral,rating_positive,rating_negative,Series,rating,score,neutral_percentage,positive_percentage,negative_percentage
41,53,50,blackmirror,positive,0.81,28.47222222222222,36.80555555555556,34.72222222222222
83,68,49,breakingbad,positive,0.97,41.5,34.0,24.5
101,66,33,gameofthrones,positive,0.87,50.5,33.0,16.5
100,69,31,moneyheist,positive,0.81,50.0,34.5,15.5
43,31,16,narcos,positive,0.89,47.77777777777778,34.44444444444444,17.77777777777778
136,45,19,prisonbreak,positive,0.6,68.0,22.5,9.5
74,98,28,riverdale,positive,0.56,37.0,49.0,14.000000000000002
80,94,26,strangerthings,positive,0.91,40.0,47.0,13.0
70,85,45,thewalkingdead,positive,0.78,35.0,42.5,22.5
